Country,State,Year,Total Registered Motor Vehicles (UOM:Number),Percentage Share (UOM:%(Percentage)),Vehicle Class,Category Of Vehicle,Production Of Motor Vehicles (UOM:Number),Year
India,Jharkhand,"Financial Year (Apr - Mar), 2017",3385347,1.24,Two Wheelers,Electric Two Wheelers,,"Financial Year (Apr - Mar), 2016"
India,Jharkhand,"Financial Year (Apr - Mar), 2015",2477018,1.08,Two-Wheelers,Motor Cycles,2183785,"Financial Year (Apr - Mar), 2000"
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2017",117526,0.02,Passenger Vehicles,Utility Vehicles,219498,"Financial Year (Apr - Mar), 2008"
India,Nagaland,"Financial Year (Apr - Mar), 2018",489688,0.17,Commercial Vehicles,Light Commercial Vehicles (LCVs),225724,"Financial Year (Apr - Mar), 2006"
India,Meghalaya,"Financial Year (Apr - Mar), 2016",583107,0.23,Commercial Vehicles,M & HCVs (Medium & Heavy Commercial Vehicles),181242,"Financial Year (Apr - Mar), 2020"
India,Uttarakhand,"Financial Year (Apr - Mar), 2016",2137333,0.84,Passenger Vehicles,Vans,196703,"Financial Year (Apr - Mar), 2013"
India,Manipur,"Financial Year (Apr - Mar), 2015",306039,0.13,Commercial Vehicles,Medium & Heavy Commercial Vehicles (M & HCVs),219295,"Financial Year (Apr - Mar), 2005"
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2018",1634827,0.55,Commercial Vehicles,Light Commercial Vehicles (LCVs),224587,"Financial Year (Apr - Mar), 2008"
India,Chandigarh,"Financial Year (Apr - Mar), 2015",836937,0.36,Passenger Vehicles,Vans,239434,"Financial Year (Apr - Mar), 2012"
India,Gujarat,"Financial Year (Apr - Mar), 2019",26836981,8.22,Two Wheelers,Mopeds,430827,"Financial Year (Apr - Mar), 2007"
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2015",264753,0.12,Two-Wheelers,Mopeds,348437,"Financial Year (Apr - Mar), 2004"
India,Chandigarh,"Financial Year (Apr - Mar), 2018",1011280,0.34,Three Wheelers,Three Wheelers,783721,"Financial Year (Apr - Mar), 2016"
India,Chandigarh,"Financial Year (Apr - Mar), 2016",882789,0.35,Two-Wheelers,Motor Cycles,7112281,"Financial Year (Apr - Mar), 2006"
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016",121559,0.05,Commercial Vehicles,Light Commercial Vehicles (LCVs),68922,"Financial Year (Apr - Mar), 2000"
India,Meghalaya,"Financial Year (Apr - Mar), 2015",558469,0.24,Passenger Vehicles,Utility Vehicles,272883,"Financial Year (Apr - Mar), 2009"
India,Lakshadweep,"Financial Year (Apr - Mar), 2016",18087,0.01,Three Wheelers,Three Wheelers,799553,"Financial Year (Apr - Mar), 2010"
India,Punjab,"Financial Year (Apr - Mar), 2019",11336366,3.47,Commercial Vehicles,Medium & Heavy Commercial Vehicles (M & HCVs),96752,"Financial Year (Apr - Mar), 2001"
India,Puducherry,"Financial Year (Apr - Mar), 2015",863313,0.38,Passenger Vehicles,Passenger Cars,2429199,"Financial Year (Apr - Mar), 2012"
India,Karnataka,"Financial Year (Apr - Mar), 2016",17871362,7.06,Commercial Vehicles,Medium & Heavy Commercial Vehicles (M & HCVs),166123,"Financial Year (Apr - Mar), 2003"
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",34924824,10.7,Two-Wheelers,Scooters,943944,"Financial Year (Apr - Mar), 2006"
India,Tamil Nadu,"Financial Year (Apr - Mar), 2016",26108966,10.31,Commercial Vehicles,LCVs (Light Commercial Vehicles),408193,"Financial Year (Apr - Mar), 2010"
India,Rajasthan,"Financial Year (Apr - Mar), 2015",13632086,5.93,Two Wheelers,Mopeds,704575,"Financial Year (Apr - Mar), 2010"
India,West Bengal,"Financial Year (Apr - Mar), 2017",7445573,2.73,Two Wheelers,Electric Two Wheelers,17389,"Financial Year (Apr - Mar), 2007"
India,Sikkim,"Financial Year (Apr - Mar), 2018",54106,0.02,Passenger Vehicles,Utility Vehicles,370945,"Financial Year (Apr - Mar), 2011"
India,Sikkim,"Financial Year (Apr - Mar), 2017",54106,0.02,Commercial Vehicles,Medium & Heavy Commercial Vehicles (M & HCVs),87784,"Financial Year (Apr - Mar), 2000"
India,Puducherry,"Financial Year (Apr - Mar), 2018",1062559,0.36,Two Wheelers,Scooters,4556398,"Financial Year (Apr - Mar), 2020"
India,Kerala,"Financial Year (Apr - Mar), 2018",13334984,4.51,Commercial Vehicles,M & HCVs (Medium & Heavy Commercial Vehicles),232414,"Financial Year (Apr - Mar), 2019"
India,Goa,"Financial Year (Apr - Mar), 2017",1325442,0.49,Commercial Vehicles,Medium & Heavy Commercial Vehicles (M & HCVs),294957,"Financial Year (Apr - Mar), 2007"
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2018",32712054,11.06,Passenger Vehicles,Passenger Cars,2711911,"Financial Year (Apr - Mar), 2016"
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2016",227493,0.045,Quadricycle,Quadricycle,5388,"Financial Year (Apr - Mar), 2018"
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2015",23936366,10.41,Commercial Vehicles,LCVs (Light Commercial Vehicles),550856,"Financial Year (Apr - Mar), 2017"
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",1711920,0.52,Commercial Vehicles,M & HCVs (Medium & Heavy Commercial Vehicles),268553,"Financial Year (Apr - Mar), 2014"
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2018",141051,0.05,Two Wheelers,Electric Two Wheelers,,"Financial Year (Apr - Mar), 2015"
India,Ladakh,"Financial Year (Apr - Mar), 2019",43035.57784,0.6,Two Wheelers,Motorcycles,13023210,"Financial Year (Apr - Mar), 2014"
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016",9626370,3.8,Commercial Vehicles,LCVs (Light Commercial Vehicles),477479,"Financial Year (Apr - Mar), 2013"
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",150060,0.05,Commercial Vehicles,M & HCVs (Medium & Heavy Commercial Vehicles),278560,"Financial Year (Apr - Mar), 2012"
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2016",26265246,10.37,Two-Wheelers,Electric Two Wheelers,,"Financial Year (Apr - Mar), 2004"
India,Gujarat,"Financial Year (Apr - Mar), 2016",22036539,8.7,Passenger Vehicles,Utility Vehicles,629255,"Financial Year (Apr - Mar), 2014"
India,Assam,"Financial Year (Apr - Mar), 2016",3028665,1.2,Passenger Vehicles,Passenger Cars,2453113,"Financial Year (Apr - Mar), 2010"
India,Meghalaya,"Financial Year (Apr - Mar), 2019",365804,0.11,Commercial Vehicles,M & HCVs (Medium & Heavy Commercial Vehicles),341287,"Financial Year (Apr - Mar), 2015"
India,Kerala,"Financial Year (Apr - Mar), 2016",11303025,4.46,Commercial Vehicles,LCVs (Light Commercial Vehicles),428530,"Financial Year (Apr - Mar), 2014"
